datetime,X_acceleration,Y_acceleration,Z_acceleration,X_gravity,Y_gravity,Z_gravity,X_angular_velocity,Y_angular_velocity,Z_angular_velocity,X_magnetic_field,Y_magnetic_field,Z_magnetic_field,azimuth,pitch,roll
2016/11/28 15:40:57.089,-1.25,8.8,3.87,-1.0,8.89,4.0,-0.02,-0.15,-0.01,6.27,-16.18,-37.44,0.1,-1.14,0.24
2016/11/28 15:40:57.292,-0.81,8.7,4.14,-0.85,8.84,4.14,-0.07,-0.07,0.04,6.07,-16.47,-37.03,0.05,-1.13,0.2
2016/11/28 15:40:57.495,-0.47,8.72,4.12,-0.65,8.85,4.15,0.01,-0.21,-0.02,5.75,-16.59,-36.67,-0.01,-1.13,0.15
2016/11/28 15:40:57.696,-0.47,8.72,4.12,-0.65,8.85,4.15,0.01,-0.21,-0.02,5.75,-16.59,-36.67,-0.01,-1.13,0.15
2016/11/28 15:40:57.898,-0.49,8.73,4.16,-0.58,8.87,4.13,0.03,-0.05,0.0,5.14,-16.54,-36.59,-0.01,-1.14,0.13
2016/11/28 15:40:58.098,-0.56,8.83,4.25,-0.57,8.84,4.2,-0.04,0.01,0.0,4.33,-16.36,-36.89,0.02,-1.13,0.13
2016/11/28 15:40:58.299,-0.48,8.72,4.2,-0.55,8.84,4.2,0.0,0.03,0.01,3.31,-16.35,-37.19,0.05,-1.13,0.13
2016/11/28 15:40:58.501,-0.51,8.73,4.23,-0.56,8.82,4.23,-0.01,0.02,-0.01,2.18,-16.53,-37.28,0.1,-1.13,0.13
2016/11/28 15:40:58.704,-0.58,8.77,4.32,-0.56,8.82,4.23,0.0,0.0,-0.02,1.22,-16.67,-37.29,0.13,-1.13,0.13
2016/11/28 15:40:58.906,-0.55,8.75,4.19,-0.56,8.82,4.23,0.0,0.01,0.0,0.72,-16.69,-37.32,0.15,-1.13,0.13
2016/11/28 15:40:59.106,-0.53,8.73,4.15,-0.56,8.82,4.23,-0.01,0.03,0.01,0.64,-16.6,-37.41,0.16,-1.13,0.13
2016/11/28 15:40:59.308,-0.49,8.75,4.27,-0.56,8.82,4.23,-0.01,-0.02,0.01,0.73,-16.53,-37.58,0.15,-1.13,0.13
2016/11/28 15:40:59.511,-0.58,8.74,4.02,-0.56,8.82,4.23,0.01,0.01,0.0,0.76,-16.51,-37.82,0.15,-1.13,0.13
