datetime,X_acceleration,Y_acceleration,Z_acceleration,X_gravity,Y_gravity,Z_gravity,X_angular_velocity,Y_angular_velocity,Z_angular_velocity,X_magnetic_field,Y_magnetic_field,Z_magnetic_field,azimuth,pitch,roll
2016/12/02 16:22:56.548,-3.3,5.4,7.01,-3.33,5.33,7.53,-0.76,-0.4,0.38,-324.9,73.08,-298.98,1.25,-0.58,0.41
2016/12/02 16:22:56.756,-2.23,4.59,10.3,-3.03,5.31,7.66,-0.11,-0.37,0.17,-325.8,72.36,-300.06,1.22,-0.58,0.37
2016/12/02 16:22:56.958,-2.11,5.01,7.35,-2.76,5.21,7.83,0.48,-1.78,-1.6,-328.32,72.9,-301.8,1.2,-0.57,0.33
2016/12/02 16:22:57.160,-3.26,3.75,10.64,-2.21,4.98,8.15,0.32,0.19,-0.67,-332.22,73.86,-304.02,1.17,-0.54,0.26
2016/12/02 16:22:57.362,-0.73,4.71,12.37,-1.41,4.52,8.58,-0.96,-0.49,-1.48,-337.08,75.29,-306.0,1.12,-0.48,0.16
2016/12/02 16:22:57.562,4.02,1.41,8.96,-0.4,4.2,8.85,-1.46,-2.27,-3.59,-345.36,76.92,-307.5,1.07,-0.45,0.04
2016/12/02 16:22:57.762,5.4,2.48,10.45,0.62,2.99,9.32,0.82,-0.35,-2.41,-355.8,76.08,-307.14,1.09,-0.31,-0.07
2016/12/02 16:22:57.963,0.8,2.98,10.07,1.59,4.59,8.51,0.1,0.35,-1.96,-364.14,70.97,-304.08,0.91,-0.49,-0.19
2016/12/02 16:22:58.164,1.37,4.36,9.07,1.33,4.31,8.7,-0.24,-0.55,-0.1,-370.68,64.86,-300.48,0.98,-0.46,-0.16
2016/12/02 16:22:58.364,1.91,2.75,8.81,1.2,3.88,8.92,-1.01,-0.68,-0.28,-373.68,58.37,-297.12,1.04,-0.41,-0.14
2016/12/02 16:22:58.565,2.98,5.97,11.33,2.16,3.39,8.94,-0.23,-0.84,-0.07,-373.74,54.36,-295.08,1.02,-0.36,-0.24
2016/12/02 16:22:58.767,4.13,1.87,9.84,2.86,2.47,9.04,-0.37,-0.49,-0.58,-374.1,53.64,-294.54,1.05,-0.26,-0.31
2016/12/02 16:22:58.969,2.94,3.17,7.77,2.86,2.36,9.07,0.67,0.41,-0.05,-374.4,53.58,-294.3,1.07,-0.25,-0.31
2016/12/02 16:22:59.171,3.37,2.45,8.88,3.03,2.74,8.91,-0.3,0.1,0.24,-375.3,53.52,-293.64,1.01,-0.29,-0.33
2016/12/02 16:22:59.371,0.49,3.56,8.04,1.88,3.0,9.14,0.28,1.31,-0.28,-374.88,52.86,-293.58,1.08,-0.32,-0.21
2016/12/02 16:22:59.571,0.84,4.36,9.3,0.09,3.15,9.28,-0.16,0.85,-0.38,-372.84,52.37,-294.6,1.19,-0.33,-0.01
2016/12/02 16:22:59.771,1.8,3.25,5.24,0.12,2.83,9.39,0.19,0.34,0.05,-370.86,52.8,-295.92,1.21,-0.3,-0.02
2016/12/02 16:22:59.972,2.33,3.14,8.69,0.18,2.56,9.46,-0.59,-1.19,1.22,-17.58,-19.14,-21.42,2.21,-0.27,-0.02
2016/12/02 16:23:00.174,0.19,1.76,7.08,2.09,2.95,9.11,-0.44,-0.48,1.28,-18.54,-17.64,-21.72,2.17,-0.31,-0.23
2016/12/02 16:23:00.376,0.68,5.47,5.89,1.9,4.58,8.46,2.56,-1.92,-0.38,-20.58,-17.58,-19.26,1.85,-0.49,-0.23
2016/12/02 16:23:00.578,-10.54,13.48,-0.73,1.91,7.7,5.76,1.2,-0.11,-3.0,-21.18,-21.24,-13.38,1.44,-0.91,-0.33
2016/12/02 16:23:00.779,-2.84,5.55,3.94,-0.67,7.62,6.13,-2.42,1.6,-1.38,-18.18,-26.88,-10.98,2.04,-0.9,0.1
2016/12/02 16:23:00.981,2.75,6.51,1.45,-1.06,7.55,6.16,-0.93,-1.19,-0.72,-12.54,-32.4,-6.42,2.48,-0.88,0.17
2016/12/02 16:23:01.183,3.79,8.12,-0.31,0.13,7.63,6.16,-0.76,-1.06,0.43,-7.68,-36.42,-3.36,2.78,-0.9,-0.03
2016/12/02 16:23:01.385,0.38,8.73,5.51,0.58,7.77,5.94,1.21,-1.38,-0.33,-4.26,-37.5,-3.0,2.94,-0.92,-0.1
2016/12/02 16:23:01.587,-0.73,8.35,9.42,-0.06,7.27,6.58,-0.81,0.91,-0.11,-3.06,-37.8,-2.28,3.01,-0.84,0.0
2016/12/02 16:23:01.789,1.41,7.92,3.9,0.24,7.09,6.77,1.01,-2.15,0.44,-3.42,-37.62,-2.82,3.0,-0.81,-0.04
2016/12/02 16:23:01.992,3.06,8.12,4.75,2.35,8.28,4.69,0.04,-0.57,0.42,-3.84,-37.38,-0.42,2.96,-1.01,-0.47
2016/12/02 16:23:02.192,2.83,9.0,8.81,3.67,7.98,4.34,-0.75,0.33,0.08,-5.46,-37.32,1.02,2.89,-0.96,-0.71
2016/12/02 16:23:02.394,-0.23,8.5,0.45,1.62,8.17,5.17,-0.06,0.56,-0.78,-6.06,-37.38,2.52,2.84,-0.99,-0.31
2016/12/02 16:23:02.596,1.14,8.12,6.51,0.63,7.53,6.25,1.39,-0.52,-0.48,-5.4,-37.38,3.06,2.92,-0.88,-0.11
2016/12/02 16:23:02.798,-0.58,6.12,6.51,-0.13,6.88,6.98,-0.92,0.2,-0.18,-2.88,-37.32,-0.18,3.03,-0.78,0.01
2016/12/02 16:23:03.000,-0.62,2.6,19.57,-0.3,7.0,6.85,-0.33,-0.4,-0.21,0.72,-37.32,-3.54,-3.12,-0.8,0.04
2016/12/02 16:23:03.202,0.15,6.55,2.45,0.08,6.41,7.41,0.27,-0.58,-0.32,2.82,-36.9,-6.42,-3.03,-0.72,-0.02
2016/12/02 16:23:03.404,-1.73,6.74,7.66,-0.44,6.19,7.59,1.5,1.79,-0.34,4.73,-36.36,-7.98,-2.96,-0.69,0.05
2016/12/02 16:23:03.606,0.76,6.81,6.89,-0.19,6.2,7.59,0.09,-0.08,0.1,5.94,-36.0,-8.7,-2.9,-0.69,0.02
2016/12/02 16:23:03.808,-1.81,5.89,7.08,0.27,6.11,7.66,0.28,1.38,0.19,6.42,-35.16,-9.6,-2.84,-0.68,-0.04
2016/12/02 16:23:04.010,-1.65,5.97,7.27,-1.38,6.17,7.5,-0.09,0.43,-0.01,7.37,-34.86,-9.48,-2.88,-0.69,0.18
2016/12/02 16:23:04.212,0.99,5.09,8.15,0.13,5.78,7.91,-0.41,-2.06,-0.56,7.02,-34.56,-10.2,-2.83,-0.64,-0.02
2016/12/02 16:23:04.414,-1.08,5.93,7.27,-0.23,5.65,8.01,0.06,0.53,0.12,6.24,-33.78,-10.98,-2.87,-0.62,0.02
2016/12/02 16:23:04.616,-0.66,4.94,7.43,-0.58,5.59,8.03,-0.18,-0.23,-0.03,6.54,-33.3,-11.22,-2.88,-0.61,0.07
2016/12/02 16:23:04.818,1.03,5.55,7.39,-1.03,5.69,7.91,0.35,1.89,0.24,6.24,-33.42,-11.82,-2.92,-0.62,0.12
2016/12/02 16:23:05.021,-0.43,6.09,8.15,-0.43,5.59,8.04,-0.12,-0.73,-0.04,6.72,-33.3,-11.94,-2.86,-0.61,0.05
2016/12/02 16:23:05.222,0.0,5.05,7.96,0.43,5.46,8.13,-0.24,-0.65,0.38,6.54,-33.3,-12.12,-2.82,-0.6,-0.06
2016/12/02 16:23:05.423,0.68,4.48,8.04,0.47,5.36,8.19,0.04,0.24,0.39,5.52,-33.66,-12.66,-2.86,-0.58,-0.06
2016/12/02 16:23:05.623,1.68,4.55,8.19,0.87,5.39,8.14,0.0,-0.3,-0.06,4.31,-33.0,-13.68,-2.87,-0.59,-0.11
2016/12/02 16:23:05.825,1.18,5.47,7.77,0.73,5.42,8.14,-0.03,-0.04,-0.15,3.17,-32.88,-13.98,-2.93,-0.59,-0.09
2016/12/02 16:23:06.026,-0.27,4.86,7.62,0.78,5.41,8.14,0.02,0.25,0.04,3.48,-33.36,-13.86,-2.92,-0.59,-0.1
2016/12/02 16:23:06.228,-0.27,5.24,8.27,-0.14,5.54,8.08,-0.01,-0.11,-0.02,4.19,-33.24,-13.8,-2.95,-0.61,0.01
2016/12/02 16:23:06.430,-0.12,5.36,7.89,-0.31,5.55,8.07,0.0,0.0,0.05,4.79,-33.48,-13.2,-2.94,-0.61,0.03
2016/12/02 16:23:06.632,4.97,5.78,10.87,0.59,5.51,8.09,-0.05,-5.02,0.22,5.16,-33.48,-12.84,-2.86,-0.6,-0.08
2016/12/02 16:23:06.832,13.48,7.16,-0.2,8.12,5.47,-0.39,2.11,-3.1,0.87,0.12,-33.96,-7.8,-2.88,-0.6,-1.62
2016/12/02 16:23:07.034,6.24,2.48,-3.91,7.11,6.09,-2.91,1.35,1.87,-0.6,-6.54,-34.32,2.52,-3.14,-0.68,-1.96
2016/12/02 16:23:07.234,8.42,4.52,-3.22,6.5,6.03,4.17,-1.03,-5.71,0.05,-11.64,-34.38,8.76,2.62,-0.67,-1.01
2016/12/02 16:23:07.434,14.9,5.24,0.53,7.69,5.59,-2.39,-0.65,4.91,-0.13,-14.88,-33.54,12.6,2.72,-0.61,-1.88
2016/12/02 16:23:07.634,8.19,-0.27,5.17,8.79,3.55,2.49,0.89,3.7,-0.09,-17.94,-31.8,8.93,2.63,-0.38,-1.3
2016/12/02 16:23:07.834,8.27,2.06,12.41,6.52,4.17,6.01,0.87,-0.84,-1.42,-17.34,-31.86,4.44,2.59,-0.44,-0.83
2016/12/02 16:23:08.034,-1.0,4.09,7.31,1.18,7.11,6.65,-1.72,0.35,-1.21,-13.14,-32.28,-1.44,2.56,-0.82,-0.18
2016/12/02 16:23:08.234,1.11,6.09,7.58,1.12,6.15,7.55,0.16,-0.2,0.1,-7.5,-33.36,-6.84,2.84,-0.68,-0.15
2016/12/02 16:23:08.435,1.18,5.51,7.89,1.05,6.17,7.54,-0.06,0.69,-0.04,-0.54,-34.8,-9.6,-3.11,-0.69,-0.14
2016/12/02 16:23:08.635,-0.23,5.55,7.12,-0.38,5.99,7.75,0.9,0.23,-0.69,3.36,-34.98,-10.98,-3.01,-0.66,0.04
2016/12/02 16:23:08.836,0.34,5.7,7.81,1.69,5.9,7.64,-0.08,-1.11,0.21,3.12,-35.04,-11.4,-2.9,-0.65,-0.22
2016/12/02 16:23:09.035,1.37,5.17,7.62,1.0,5.96,7.72,0.06,0.82,-0.13,3.36,-34.8,-12.0,-2.91,-0.66,-0.13
2016/12/02 16:23:09.236,1.68,5.59,7.27,1.47,5.77,7.78,-0.19,-0.99,0.0,2.7,-34.98,-12.72,-2.91,-0.63,-0.19
2016/12/02 16:23:09.437,1.07,5.51,8.19,1.63,5.69,7.81,0.03,1.12,-0.02,1.97,-34.8,-13.44,-2.93,-0.62,-0.21
2016/12/02 16:23:09.638,0.76,5.43,7.89,1.5,5.66,7.86,0.07,0.66,0.08,1.97,-34.44,-13.92,-2.93,-0.62,-0.19
2016/12/02 16:23:09.840,0.49,4.9,8.19,0.5,5.6,8.03,0.0,1.23,-0.07,2.15,-34.26,-14.64,-2.99,-0.61,-0.07
2016/12/02 16:23:10.041,0.3,5.86,8.84,-0.29,5.55,8.07,0.07,0.27,0.07,4.02,-33.78,-14.82,-2.97,-0.61,0.03
2016/12/02 16:23:10.241,-0.16,5.47,7.81,-0.19,5.69,7.98,-0.03,-0.97,0.0,4.73,-33.6,-14.28,-2.92,-0.62,0.02
